year,month,day,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,rolling_mean_7,rolling_mean_3,sin_week,cos_week
2019,5,13,9.0,14.0,8.0,7.0,9.0,7.0,12.0,8.857142857142858,10.333333333333334,0.0,1.0
2019,5,14,8.0,9.0,14.0,8.0,7.0,9.0,7.0,9.714285714285714,10.0,0.7818314824680298,0.6234898018587336
2019,5,15,13.0,8.0,9.0,14.0,8.0,7.0,9.0,10.0,10.666666666666666,0.9749279121818236,-0.22252093395631434
2019,5,16,11.0,13.0,8.0,9.0,14.0,8.0,7.0,10.285714285714286,11.0,0.43388373911755823,-0.900968867902419
2019,5,17,9.0,11.0,13.0,8.0,9.0,14.0,8.0,11.571428571428571,12.333333333333334,-0.433883739117558,-0.9009688679024191
2019,5,18,17.0,9.0,11.0,13.0,8.0,9.0,14.0,10.857142857142858,11.666666666666666,-0.9749279121818236,-0.2225209339563146
2019,5,19,9.0,17.0,9.0,11.0,13.0,8.0,9.0,10.857142857142858,11.666666666666666,-0.7818314824680299,0.6234898018587334
2019,5,20,9.0,9.0,17.0,9.0,11.0,13.0,8.0,10.285714285714286,7.333333333333333,0.0,1.0
2019,5,21,4.0,9.0,9.0,17.0,9.0,11.0,13.0,10.285714285714286,8.666666666666666,0.7818314824680298,0.6234898018587336
2019,5,22,13.0,4.0,9.0,9.0,17.0,9.0,11.0,9.428571428571429,7.333333333333333,0.9749279121818236,-0.22252093395631434
2019,5,23,5.0,13.0,4.0,9.0,9.0,17.0,9.0,10.285714285714286,11.0,0.43388373911755823,-0.900968867902419
2019,5,24,15.0,5.0,13.0,4.0,9.0,9.0,17.0,9.0,9.333333333333334,-0.433883739117558,-0.9009688679024191
2019,5,25,8.0,15.0,5.0,13.0,4.0,9.0,9.0,9.285714285714286,11.333333333333334,-0.9749279121818236,-0.2225209339563146
2019,5,26,11.0,8.0,15.0,5.0,13.0,4.0,9.0,9.571428571428571,10.0,-0.7818314824680299,0.6234898018587334
2019,5,27,11.0,11.0,8.0,15.0,5.0,13.0,4.0,11.0,12.0,0.0,1.0
2019,5,28,14.0,11.0,11.0,8.0,15.0,5.0,13.0,9.857142857142858,10.0,0.7818314824680298,0.6234898018587336
2019,5,29,5.0,14.0,11.0,11.0,8.0,15.0,5.0,11.571428571428571,12.0,0.9749279121818236,-0.22252093395631434
2019,5,30,17.0,5.0,14.0,11.0,11.0,8.0,15.0,10.857142857142858,10.666666666666666,0.43388373911755823,-0.900968867902419
2019,5,31,10.0,17.0,5.0,14.0,11.0,11.0,8.0,10.714285714285714,11.333333333333334,-0.433883739117558,-0.9009688679024191
2019,6,1,7.0,10.0,17.0,5.0,14.0,11.0,11.0,11.285714285714286,10.666666666666666,-0.9749279121818236,-0.2225209339563146
2019,6,2,15.0,7.0,10.0,17.0,5.0,14.0,11.0,11.714285714285714,12.0,-0.7818314824680299,0.6234898018587334
2019,6,3,14.0,15.0,7.0,10.0,17.0,5.0,14.0,10.857142857142858,12.333333333333334,0.0,1.0
2019,6,4,8.0,14.0,15.0,7.0,10.0,17.0,5.0,12.142857142857142,12.0,0.7818314824680298,0.6234898018587336
2019,6,5,14.0,8.0,14.0,15.0,7.0,10.0,17.0,11.0,10.333333333333334,0.9749279121818236,-0.22252093395631434
2019,6,6,9.0,14.0,8.0,14.0,15.0,7.0,10.0,11.0,11.0,0.43388373911755823,-0.900968867902419
2019,6,7,10.0,9.0,14.0,8.0,14.0,15.0,7.0,11.714285714285714,10.333333333333334,-0.433883739117558,-0.9009688679024191
2019,6,8,12.0,10.0,9.0,14.0,8.0,14.0,15.0,11.428571428571429,11.666666666666666,-0.9749279121818236,-0.2225209339563146
2019,6,9,13.0,12.0,10.0,9.0,14.0,8.0,14.0,10.571428571428571,11.0,-0.7818314824680299,0.6234898018587334
2019,6,10,8.0,13.0,12.0,10.0,9.0,14.0,8.0,10.714285714285714,10.0,0.0,1.0
2019,6,11,9.0,8.0,13.0,12.0,10.0,9.0,14.0,10.571428571428571,10.0,0.7818314824680298,0.6234898018587336
2019,6,12,13.0,9.0,8.0,13.0,12.0,10.0,9.0,11.0,11.333333333333334,0.9749279121818236,-0.22252093395631434
2019,6,13,12.0,13.0,9.0,8.0,13.0,12.0,10.0,10.714285714285714,11.0,0.43388373911755823,-0.900968867902419
2019,6,14,8.0,12.0,13.0,9.0,8.0,13.0,12.0,10.571428571428571,10.333333333333334,-0.433883739117558,-0.9009688679024191
2019,6,15,11.0,8.0,12.0,13.0,9.0,8.0,13.0,11.285714285714286,12.333333333333334,-0.9749279121818236,-0.2225209339563146
2019,6,16,18.0,11.0,8.0,12.0,13.0,9.0,8.0,12.285714285714286,14.666666666666666,-0.7818314824680299,0.6234898018587334
2019,6,17,15.0,18.0,11.0,8.0,12.0,13.0,9.0,11.714285714285714,12.666666666666666,0.0,1.0
2019,6,18,5.0,15.0,18.0,11.0,8.0,12.0,13.0,11.571428571428571,10.666666666666666,0.7818314824680298,0.6234898018587336
2019,6,19,12.0,5.0,15.0,18.0,11.0,8.0,12.0,11.428571428571429,9.333333333333334,0.9749279121818236,-0.22252093395631434
2019,6,20,11.0,12.0,5.0,15.0,18.0,11.0,8.0,11.428571428571429,10.333333333333334,0.43388373911755823,-0.900968867902419
2019,6,21,8.0,11.0,12.0,5.0,15.0,18.0,11.0,11.571428571428571,10.333333333333334,-0.433883739117558,-0.9009688679024191
2019,6,22,12.0,8.0,11.0,12.0,5.0,15.0,18.0,11.0,11.333333333333334,-0.9749279121818236,-0.2225209339563146
2019,6,23,14.0,12.0,8.0,11.0,12.0,5.0,15.0,9.571428571428571,10.333333333333334,-0.7818314824680299,0.6234898018587334
2019,6,24,5.0,14.0,12.0,8.0,11.0,12.0,5.0,9.857142857142858,8.666666666666666,0.0,1.0
2019,6,25,7.0,5.0,14.0,12.0,8.0,11.0,12.0,9.142857142857142,6.333333333333333,0.7818314824680298,0.6234898018587336
2019,6,26,7.0,7.0,5.0,14.0,12.0,8.0,11.0,8.857142857142858,7.666666666666667,0.9749279121818236,-0.22252093395631434
2019,6,27,9.0,7.0,7.0,5.0,14.0,12.0,8.0,9.571428571428571,9.666666666666666,0.43388373911755823,-0.900968867902419
2019,6,28,13.0,9.0,7.0,7.0,5.0,14.0,12.0,8.857142857142858,9.666666666666666,-0.433883739117558,-0.9009688679024191
2019,6,29,7.0,13.0,9.0,7.0,7.0,5.0,14.0,8.428571428571429,10.333333333333334,-0.9749279121818236,-0.2225209339563146
2019,6,30,11.0,7.0,13.0,9.0,7.0,7.0,5.0,9.0,9.0,-0.7818314824680299,0.6234898018587334
2019,7,1,9.0,11.0,7.0,13.0,9.0,7.0,7.0,8.857142857142858,8.666666666666666,0.0,1.0
2019,7,2,6.0,9.0,11.0,7.0,13.0,9.0,7.0,9.0,7.666666666666667,0.7818314824680298,0.6234898018587336
2019,7,3,8.0,6.0,9.0,11.0,7.0,13.0,9.0,9.857142857142858,9.666666666666666,0.9749279121818236,-0.22252093395631434
2019,7,4,15.0,8.0,6.0,9.0,11.0,7.0,13.0,9.428571428571429,11.0,0.43388373911755823,-0.900968867902419
2019,7,5,10.0,15.0,8.0,6.0,9.0,11.0,7.0,10.0,12.0,-0.433883739117558,-0.9009688679024191
2019,7,6,11.0,10.0,15.0,8.0,6.0,9.0,11.0,10.857142857142858,12.666666666666666,-0.9749279121818236,-0.2225209339563146
2019,7,7,17.0,11.0,10.0,15.0,8.0,6.0,9.0,10.428571428571429,11.333333333333334,-0.7818314824680299,0.6234898018587334
2019,7,8,6.0,17.0,11.0,10.0,15.0,8.0,6.0,11.857142857142858,13.0,0.0,1.0
2019,7,9,16.0,6.0,17.0,11.0,10.0,15.0,8.0,12.285714285714286,11.0,0.7818314824680298,0.6234898018587336
2019,7,10,11.0,16.0,6.0,17.0,11.0,10.0,15.0,11.428571428571429,12.0,0.9749279121818236,-0.22252093395631434
2019,7,11,9.0,11.0,16.0,6.0,17.0,11.0,10.0,11.0,9.0,0.43388373911755823,-0.900968867902419
2019,7,12,7.0,9.0,11.0,16.0,6.0,17.0,11.0,11.142857142857142,9.333333333333334,-0.433883739117558,-0.9009688679024191
2019,7,13,12.0,7.0,9.0,11.0,16.0,6.0,17.0,9.714285714285714,8.666666666666666,-0.9749279121818236,-0.2225209339563146
2019,7,14,7.0,12.0,7.0,9.0,11.0,16.0,6.0,10.0,9.0,-0.7818314824680299,0.6234898018587334
2019,7,15,8.0,7.0,12.0,7.0,9.0,11.0,16.0,10.285714285714286,11.0,0.0,1.0
2019,7,16,18.0,8.0,7.0,12.0,7.0,9.0,11.0,10.714285714285714,13.333333333333334,0.7818314824680298,0.6234898018587336
2019,7,17,14.0,18.0,8.0,7.0,12.0,7.0,9.0,10.857142857142858,14.0,0.9749279121818236,-0.22252093395631434
2019,7,18,10.0,14.0,18.0,8.0,7.0,12.0,7.0,11.428571428571429,11.666666666666666,0.43388373911755823,-0.900968867902419
2019,7,19,11.0,10.0,14.0,18.0,8.0,7.0,12.0,10.714285714285714,9.333333333333334,-0.433883739117558,-0.9009688679024191
2019,7,20,7.0,11.0,10.0,14.0,18.0,8.0,7.0,11.285714285714286,9.666666666666666,-0.9749279121818236,-0.2225209339563146
2019,7,21,11.0,7.0,11.0,10.0,14.0,18.0,8.0,11.857142857142858,10.0,-0.7818314824680299,0.6234898018587334
2019,7,22,12.0,11.0,7.0,11.0,10.0,14.0,18.0,10.857142857142858,11.333333333333334,0.0,1.0
2019,7,23,11.0,12.0,11.0,7.0,11.0,10.0,14.0,10.857142857142858,12.333333333333334,0.7818314824680298,0.6234898018587336
2019,7,24,14.0,11.0,12.0,11.0,7.0,11.0,10.0,11.285714285714286,12.666666666666666,0.9749279121818236,-0.22252093395631434
2019,7,25,13.0,14.0,11.0,12.0,11.0,7.0,11.0,10.857142857142858,11.666666666666666,0.43388373911755823,-0.900968867902419
